org,name,full_name,url,private,archived,fork,default_branch,pushed_at,has_gitignore,has_readme,notebooks_ipynb,files_py,files_tex,files_md,files_yml,total_files,branches_count
academic-codex,academic-codex.github.io,Academic-Codex/academic-codex.github.io,https://github.com/Academic-Codex/academic-codex.github.io,False,False,False,main,2025-12-29T04:44:35Z,True,True,2,3,0,2,15,252,1
academic-codex,DPG5011-Formacao-Do-Cientista-Empreendedor,Academic-Codex/DPG5011-Formacao-Do-Cientista-Empreendedor,https://github.com/Academic-Codex/DPG5011-Formacao-Do-Cientista-Empreendedor,False,False,False,main,2025-12-28T18:34:38Z,True,True,1,0,0,1,4,26,2
academic-codex,EAP5054-Formacao-Cientista-Empreendedor-II,Academic-Codex/EAP5054-Formacao-Cientista-Empreendedor-II,https://github.com/Academic-Codex/EAP5054-Formacao-Cientista-Empreendedor-II,False,False,False,main,2025-12-28T18:34:41Z,False,True,1,0,0,1,4,26,2
academic-codex,FCM0101-Fisica-I,Academic-Codex/FCM0101-Fisica-I,https://github.com/Academic-Codex/FCM0101-Fisica-I,False,False,False,main,2025-12-28T13:12:29Z,False,True,0,0,0,1,0,1,1
academic-codex,FCM0102-Fisica-II,Academic-Codex/FCM0102-Fisica-II,https://github.com/Academic-Codex/FCM0102-Fisica-II,False,False,False,main,2025-12-28T13:16:54Z,False,True,0,0,0,1,0,1,1
academic-codex,FFI0180-Laboratorio-de-Fisica-Geral-I,Academic-Codex/FFI0180-Laboratorio-de-Fisica-Geral-I,https://github.com/Academic-Codex/FFI0180-Laboratorio-de-Fisica-Geral-I,False,False,False,main,2025-12-28T13:13:27Z,False,True,0,0,0,1,0,1,1
academic-codex,FFI0181-Laboratorio-de-Fisica-Geral-II,Academic-Codex/FFI0181-Laboratorio-de-Fisica-Geral-II,https://github.com/Academic-Codex/FFI0181-Laboratorio-de-Fisica-Geral-II,False,False,False,main,2025-12-28T18:34:40Z,True,True,1,0,0,1,4,28,2
academic-codex,IF4300214-Fisica-Experimental-IV,Academic-Codex/IF4300214-Fisica-Experimental-IV,https://github.com/Academic-Codex/IF4300214-Fisica-Experimental-IV,False,False,False,main,2025-12-28T18:34:41Z,False,True,1,0,0,1,4,26,2
academic-codex,IF4302111-Fisica-I,Academic-Codex/IF4302111-Fisica-I,https://github.com/Academic-Codex/IF4302111-Fisica-I,False,False,False,main,2025-12-28T18:34:45Z,False,True,1,0,0,1,4,28,2
academic-codex,IF4302112-Fisica-II,Academic-Codex/IF4302112-Fisica-II,https://github.com/Academic-Codex/IF4302112-Fisica-II,False,False,False,main,2025-12-28T18:34:43Z,True,True,14,0,0,1,4,53,2
academic-codex,IF4302112-Fisica-Matematica-I,Academic-Codex/IF4302112-Fisica-Matematica-I,https://github.com/Academic-Codex/IF4302112-Fisica-Matematica-I,False,False,False,main,2025-12-28T18:34:40Z,True,True,1,0,0,1,4,27,2
academic-codex,IF4302211-Fisica-III,Academic-Codex/IF4302211-Fisica-III,https://github.com/Academic-Codex/IF4302211-Fisica-III,False,False,False,main,2025-12-28T18:34:42Z,True,True,0,0,0,1,4,26,2
academic-codex,IF4302212-Fisica-IV,Academic-Codex/IF4302212-Fisica-IV,https://github.com/Academic-Codex/IF4302212-Fisica-IV,False,False,False,main,2025-12-28T18:34:43Z,True,True,1,0,0,1,4,26,2
academic-codex,IF4302305-Mecanica-Classica-I,Academic-Codex/IF4302305-Mecanica-Classica-I,https://github.com/Academic-Codex/IF4302305-Mecanica-Classica-I,False,False,False,main,2025-12-28T18:34:43Z,True,True,1,0,0,1,4,28,2
academic-codex,IF4302306-Mecanica-Classica-II,Academic-Codex/IF4302306-Mecanica-Classica-II,https://github.com/Academic-Codex/IF4302306-Mecanica-Classica-II,False,False,False,main,2025-12-28T18:34:44Z,True,True,23,0,0,1,4,72,2
academic-codex,IF4302307-Fisica-Matematica-II,Academic-Codex/IF4302307-Fisica-Matematica-II,https://github.com/Academic-Codex/IF4302307-Fisica-Matematica-II,False,False,False,main,2025-12-28T18:34:43Z,True,True,1,0,0,1,4,28,2
academic-codex,IF4302403-Mecanica-Quantica-I,Academic-Codex/IF4302403-Mecanica-Quantica-I,https://github.com/Academic-Codex/IF4302403-Mecanica-Quantica-I,False,False,False,main,2025-12-28T18:34:43Z,True,True,1,0,0,1,4,28,2
academic-codex,IF4302404-Mecanica-Quantica-II,Academic-Codex/IF4302404-Mecanica-Quantica-II,https://github.com/Academic-Codex/IF4302404-Mecanica-Quantica-II,False,False,False,main,2025-12-28T18:34:43Z,True,True,1,0,0,1,4,28,2
academic-codex,MAC5722-Complexidade-Computacional,Academic-Codex/MAC5722-Complexidade-Computacional,https://github.com/Academic-Codex/MAC5722-Complexidade-Computacional,False,False,False,main,2025-12-28T18:34:45Z,True,True,2,1,8,1,4,54,2
academic-codex,MAC5921-Deep-Learning,Academic-Codex/MAC5921-Deep-Learning,https://github.com/Academic-Codex/MAC5921-Deep-Learning,False,False,False,main,2025-12-28T18:34:43Z,True,True,16,4,3,3,4,141,2
academic-codex,MAE5911-Estatistica-e-Machine-Learning,Academic-Codex/MAE5911-Estatistica-e-Machine-Learning,https://github.com/Academic-Codex/MAE5911-Estatistica-e-Machine-Learning,False,False,False,main,2025-12-28T18:34:46Z,True,True,28,0,34,1,4,276,2
academic-codex,MAT5730-Algebra-Linear,Academic-Codex/MAT5730-Algebra-Linear,https://github.com/Academic-Codex/MAT5730-Algebra-Linear,False,False,False,main,2025-12-28T18:34:43Z,True,True,0,0,56,1,4,86,2
academic-codex,MCKZ-Metodos-Quantitativos,Academic-Codex/MCKZ-Metodos-Quantitativos,https://github.com/Academic-Codex/MCKZ-Metodos-Quantitativos,False,False,False,main,2025-12-28T18:35:14Z,True,True,1,0,0,1,4,27,2
academic-codex,PGF5001-Mecanica-Quantica-I,Academic-Codex/PGF5001-Mecanica-Quantica-I,https://github.com/Academic-Codex/PGF5001-Mecanica-Quantica-I,False,False,False,main,2025-12-28T18:35:16Z,True,True,24,0,2,1,4,80,2
academic-codex,PGF5002-Mecanica-Quantica-II,Academic-Codex/PGF5002-Mecanica-Quantica-II,https://github.com/Academic-Codex/PGF5002-Mecanica-Quantica-II,False,False,False,main,2025-12-28T18:34:51Z,True,True,0,0,0,1,6,27,2
academic-codex,PGF5003-Eletrodinamica,Academic-Codex/PGF5003-Eletrodinamica,https://github.com/Academic-Codex/PGF5003-Eletrodinamica,False,False,False,main,2025-12-28T18:34:54Z,True,True,24,1,3,1,4,81,2
academic-codex,PGF5005-Mecanica-Classica,Academic-Codex/PGF5005-Mecanica-Classica,https://github.com/Academic-Codex/PGF5005-Mecanica-Classica,False,False,False,main,2025-12-28T18:35:00Z,True,True,42,0,2,1,4,341,2
academic-codex,PGF5006-Mecanica-Estatistica,Academic-Codex/PGF5006-Mecanica-Estatistica,https://github.com/Academic-Codex/PGF5006-Mecanica-Estatistica,False,False,False,main,2025-12-28T18:34:59Z,True,True,28,0,0,1,4,82,2
academic-codex,PGF5107-Introducao-a-Teoria-Quantica-de-Campos-I,Academic-Codex/PGF5107-Introducao-a-Teoria-Quantica-de-Campos-I,https://github.com/Academic-Codex/PGF5107-Introducao-a-Teoria-Quantica-de-Campos-I,False,False,False,main,2025-12-28T18:34:53Z,True,True,26,0,0,1,4,77,2
academic-codex,PGF5261-Teoria-de-Grupos-Aplicada,Academic-Codex/PGF5261-Teoria-de-Grupos-Aplicada,https://github.com/Academic-Codex/PGF5261-Teoria-de-Grupos-Aplicada,False,False,False,main,2025-12-28T18:34:57Z,True,True,1,0,8,1,4,133,2
academic-codex,PGF5295-Teoria-de-Muitos-Corpos-e-Materia-Condensada,Academic-Codex/PGF5295-Teoria-de-Muitos-Corpos-e-Materia-Condensada,https://github.com/Academic-Codex/PGF5295-Teoria-de-Muitos-Corpos-e-Materia-Condensada,False,False,False,main,2025-12-28T18:35:15Z,True,True,25,0,0,1,4,75,2
academic-codex,SAP0679-Humanidades-e-Ciencias-Sociais,Academic-Codex/SAP0679-Humanidades-e-Ciencias-Sociais,https://github.com/Academic-Codex/SAP0679-Humanidades-e-Ciencias-Sociais,False,False,False,main,2025-12-28T18:35:19Z,True,True,1,0,0,1,4,28,2
academic-codex,SCC0635-Visao-Computacional-em-Robotica,Academic-Codex/SCC0635-Visao-Computacional-em-Robotica,https://github.com/Academic-Codex/SCC0635-Visao-Computacional-em-Robotica,False,False,False,main,2025-12-28T18:34:52Z,False,True,1,0,0,1,4,26,2
academic-codex,SCC0650-Computacao-Grafica,Academic-Codex/SCC0650-Computacao-Grafica,https://github.com/Academic-Codex/SCC0650-Computacao-Grafica,False,False,False,main,2025-12-28T18:34:56Z,False,True,1,0,0,1,4,26,2
academic-codex,SCC0661-Hipermidia-e-Multimidia,Academic-Codex/SCC0661-Hipermidia-e-Multimidia,https://github.com/Academic-Codex/SCC0661-Hipermidia-e-Multimidia,False,False,False,main,2025-12-28T18:34:53Z,True,True,1,0,0,1,4,28,2
academic-codex,SCE0245-Algoritmos-Avancados,Academic-Codex/SCE0245-Algoritmos-Avancados,https://github.com/Academic-Codex/SCE0245-Algoritmos-Avancados,False,False,False,main,2025-12-28T18:35:18Z,False,True,1,0,0,1,4,26,2
academic-codex,SCE0294-Laboratorio-de-Algoritmos-Avancados,Academic-Codex/SCE0294-Laboratorio-de-Algoritmos-Avancados,https://github.com/Academic-Codex/SCE0294-Laboratorio-de-Algoritmos-Avancados,False,False,False,main,2025-12-28T13:21:34Z,False,True,0,0,0,1,0,1,1
academic-codex,SCE0601-Introducao-a-Ciencia-da-Computacao-I,Academic-Codex/SCE0601-Introducao-a-Ciencia-da-Computacao-I,https://github.com/Academic-Codex/SCE0601-Introducao-a-Ciencia-da-Computacao-I,False,False,False,main,2025-12-28T18:34:57Z,False,True,1,0,0,1,4,26,2
academic-codex,SCE0601-Laboratorio-de-Introducao-a-Ciencia-da-Computacao-I,Academic-Codex/SCE0601-Laboratorio-de-Introducao-a-Ciencia-da-Computacao-I,https://github.com/Academic-Codex/SCE0601-Laboratorio-de-Introducao-a-Ciencia-da-Computacao-I,False,False,False,main,2025-12-28T13:15:03Z,False,True,0,0,0,1,0,1,1
academic-codex,SCE0602-Introducao-Ciencia-Da-Computacao-II,Academic-Codex/SCE0602-Introducao-Ciencia-Da-Computacao-II,https://github.com/Academic-Codex/SCE0602-Introducao-Ciencia-Da-Computacao-II,False,False,False,main,2025-12-28T18:35:04Z,False,True,1,0,0,1,4,26,2
academic-codex,SCE0603-Algoritmos-e-Estrutura-de-Dados-I,Academic-Codex/SCE0603-Algoritmos-e-Estrutura-de-Dados-I,https://github.com/Academic-Codex/SCE0603-Algoritmos-e-Estrutura-de-Dados-I,False,False,False,main,2025-12-28T18:35:16Z,False,True,1,0,0,1,4,26,2
academic-codex,SCE0605-Teoria-da-Computacao-e-Compiladores,Academic-Codex/SCE0605-Teoria-da-Computacao-e-Compiladores,https://github.com/Academic-Codex/SCE0605-Teoria-da-Computacao-e-Compiladores,False,False,False,main,2025-12-28T18:35:06Z,False,True,1,0,0,1,4,26,2
academic-codex,SCE0606-Algoritmos-e-Estrutura-de-Dados-II,Academic-Codex/SCE0606-Algoritmos-e-Estrutura-de-Dados-II,https://github.com/Academic-Codex/SCE0606-Algoritmos-e-Estrutura-de-Dados-II,False,False,False,main,2025-12-28T18:34:58Z,False,True,1,0,0,1,4,26,2
academic-codex,SCE0609-Sistemas-Operacionais-I,Academic-Codex/SCE0609-Sistemas-Operacionais-I,https://github.com/Academic-Codex/SCE0609-Sistemas-Operacionais-I,False,False,False,main,2025-12-28T18:35:23Z,False,True,1,0,0,1,4,26,2
academic-codex,SCE0610-Programacao-Orientada-a-Objetos,Academic-Codex/SCE0610-Programacao-Orientada-a-Objetos,https://github.com/Academic-Codex/SCE0610-Programacao-Orientada-a-Objetos,False,False,False,main,2025-12-28T18:34:54Z,False,True,1,0,0,1,4,26,2
academic-codex,SCE0611-Engenharia-De-Software,Academic-Codex/SCE0611-Engenharia-De-Software,https://github.com/Academic-Codex/SCE0611-Engenharia-De-Software,False,False,False,main,2025-12-28T18:35:12Z,True,True,1,0,0,1,4,28,2
academic-codex,SCE0613-Arquitetura-de-Computadores,Academic-Codex/SCE0613-Arquitetura-de-Computadores,https://github.com/Academic-Codex/SCE0613-Arquitetura-de-Computadores,False,False,False,main,2025-12-28T18:35:09Z,False,True,1,0,0,1,4,26,2
academic-codex,SCE0614-Inteligencia-Artificial,Academic-Codex/SCE0614-Inteligencia-Artificial,https://github.com/Academic-Codex/SCE0614-Inteligencia-Artificial,False,False,False,main,2025-12-28T18:34:54Z,False,True,1,0,0,1,4,26,2
academic-codex,SCE0615-Banco-de-Dados,Academic-Codex/SCE0615-Banco-de-Dados,https://github.com/Academic-Codex/SCE0615-Banco-de-Dados,False,False,False,main,2025-12-28T18:34:59Z,False,True,1,0,0,1,4,26,2
academic-codex,SCE0616-Sistemas-Computacionais-Distribuidos,Academic-Codex/SCE0616-Sistemas-Computacionais-Distribuidos,https://github.com/Academic-Codex/SCE0616-Sistemas-Computacionais-Distribuidos,False,False,False,main,2025-12-28T18:35:09Z,False,True,1,0,0,1,4,26,2
academic-codex,SCE0617-Redes-de-Computadores,Academic-Codex/SCE0617-Redes-de-Computadores,https://github.com/Academic-Codex/SCE0617-Redes-de-Computadores,False,False,False,main,2025-12-28T18:35:06Z,False,True,1,0,0,1,4,26,2
academic-codex,SCE0620-Analise-e-Projeto-Orientado-a-Objeto,Academic-Codex/SCE0620-Analise-e-Projeto-Orientado-a-Objeto,https://github.com/Academic-Codex/SCE0620-Analise-e-Projeto-Orientado-a-Objeto,False,False,False,main,2025-12-28T18:35:03Z,False,True,1,0,0,1,4,26,2
academic-codex,SEL0344-Antenas,Academic-Codex/SEL0344-Antenas,https://github.com/Academic-Codex/SEL0344-Antenas,False,False,False,main,2025-12-28T18:34:54Z,False,True,1,0,0,1,4,26,2
academic-codex,SEL0366-Comunicacoes-Opticas,Academic-Codex/SEL0366-Comunicacoes-Opticas,https://github.com/Academic-Codex/SEL0366-Comunicacoes-Opticas,False,False,False,main,2025-12-28T18:35:06Z,False,True,1,0,0,1,4,26,2
academic-codex,SEL0601-Materiais-Eletricos,Academic-Codex/SEL0601-Materiais-Eletricos,https://github.com/Academic-Codex/SEL0601-Materiais-Eletricos,False,False,False,main,2025-12-28T13:17:20Z,False,True,0,0,0,1,0,1,1
academic-codex,SEL0602-Circuitos-Eletricos,Academic-Codex/SEL0602-Circuitos-Eletricos,https://github.com/Academic-Codex/SEL0602-Circuitos-Eletricos,False,False,False,main,2025-12-28T02:11:15Z,False,True,0,0,0,1,0,1,1
